user_id,tweet_id,tweet_text,class,clean_text,label,true_label_num,predicted_label_num,true_label,predicted_label,probability_anorexia,is_correct,prediction_type,text_length_chars,text_length_words
user0115,885428112b02,"Recuerdo cuando sufrÃ­a de EDs, era un palito, suerte que conocÃ­ a Demi Lovato y me ayudÃ³ a salir adelante :) #staystrong  #anorexic",anorexia,recuerdo cuando sufría de eds era un palito suerte que conocí a demi lovato y me ayudó a salir adelante #staystrong #anorexic,1,1,0,anorexia,control,0.49465447587218,False,false_negative,134,22
user0120,e6a01d8922b7,". Testimonio: ""DejÃ© de ser una persona para convertirme en una esclava de la #bulimia"" http://ow.ly/RwUFs",anorexia,testimonio dejé de ser una persona para convertirme en una esclava de la #bulimia,1,1,0,anorexia,control,0.3708823407660869,False,false_negative,106,14
user0397,766612d68655,"algÃºn consejo para um abdomen plano ? 
#instachile #instalike  #deporte",anorexia,algún consejo para um abdomen plano #instachile #instalike #deporte,1,1,0,anorexia,control,0.10033360715857714,False,false_negative,72,9
user0612,ef51790d33ae,"Otra noche con insomnio ... la cabeza solo da vueltas a la necesidad de estar delgada, de no saber quÃ© mÃ¡s hacer para engaÃ±ar al organismo y ocasionar una pÃ©rdida masiva de peso... otra noche de pensar en cÃ³mo luchar contra una misma, otra noche de mierda ...  #desahogo",anorexia,otra noche con insomnio la cabeza solo da vueltas a la necesidad de estar delgada de no saber qué más hacer para engañar al organismo y ocasionar una pérdida masiva de peso otra noche de pensar en cómo luchar contra una misma otra noche de mierda #desahogo,1,1,0,anorexia,control,0.091661252843839,False,false_negative,275,47
user0874,5b586059deb3,"Â¿cuÃ¡nto cuesta tener un buen cuerpo?
 #bulimicgirl #anorexic #bulimic #bulimia",anorexia,cuánto cuesta tener un buen cuerpo #bulimicgirl #anorexic #bulimic #bulimia,1,1,0,anorexia,control,0.33765588344553643,False,false_negative,80,10
user1219,6ba5a8af086f,"&& Sin Darme cuenta  Ya me estÃ¡n controlando, Ahora me Obligan a mentirles a las personas que mÃ¡s quiero. 
#ImSorry",anorexia,sin darme cuenta ya me están controlando ahora me obligan a mentirles a las personas que más quiero #imsorry,1,1,0,anorexia,control,0.32025816861755874,False,false_negative,117,19
user0092,fcb1ff9a6c7f,"#Retodelapluma  
Princesas a ver si se animan",anorexia,#retodelapluma princesas a ver si se animan,1,1,0,anorexia,control,0.43838534334026924,False,false_negative,45,7
user0658,7676075c526d,Mi comida de hoy...,anorexia,mi comida de hoy,1,1,0,anorexia,control,0.2833852394124229,False,false_negative,19,4
user0172,d741e9323930,"Gracias a la presiÃ³n social y el estÃ¡ndar de belleza de las personas volverÃ© a  . Se los agradezco profundamente,",anorexia,gracias a la presión social y el estándar de belleza de las personas volveré a se los agradezco profundamente,1,1,0,anorexia,control,0.26298882217396347,False,false_negative,116,19
user0777,0d3b09265e72,"cene UNA porcion de pizza
#VolviendoALaAnorexia   #obesidad #hashtagspelotudos",anorexia,cene una porcion de pizza #volviendoalaanorexia #obesidad #hashtagspelotudos,1,1,0,anorexia,control,0.33861616548829326,False,false_negative,78,8
